match_id,date,home_id,away_id,team_id,player_id,player_name,time,x,y,goalMouthY,goalMouthZ,shot_type,is_big_chance,is_from_corner,is_open_play,is_counter,is_set_piece,is_freekick,is_penalty,is_six_yard_box,is_penalty_area,is_shot_obox,is_own_goal,is_goal
615287,20130504,West Bromwich,Wigan,Wigan,4616,Shaun Maloney,171,71.1,80.9,27.1,62.5,1,0,0,1,0,0,0,0,0,0,1,0,0
615287,20130504,West Bromwich,Wigan,West Bromwich,15782,Graham Dorrans,592,74.8,52.0,47.6,8.9,1,0,0,0,0,1,1,0,0,0,1,0,0
615287,20130504,West Bromwich,Wigan,West Bromwich,78498,Romelu Lukaku,632,81.9,70.7,44.1,55.6,1,0,0,1,0,0,0,0,0,0,1,0,0
615287,20130504,West Bromwich,Wigan,West Bromwich,4891,Markus Rosenberg,671,85.6,43.1,,,1,0,0,1,0,0,0,0,0,1,0,0,0
615287,20130504,West Bromwich,Wigan,West Bromwich,15782,Graham Dorrans,681,77.6,62.1,,,1,0,0,1,0,0,0,0,0,0,1,0,0
615287,20130504,West Bromwich,Wigan,West Bromwich,15782,Graham Dorrans,715,77.5,62.9,,,1,0,0,1,0,0,0,0,0,0,1,0,0
615287,20130504,West Bromwich,Wigan,Wigan,74885,Callum McManaman,905,80.8,46.3,42.7,4.2,1,0,0,1,0,0,0,0,0,0,1,0,0
615287,20130504,West Bromwich,Wigan,Wigan,8943,Arouna Koné,1029,64.9,33.7,46.3,7.6,1,0,0,1,0,0,0,0,0,0,1,0,0
615287,20130504,West Bromwich,Wigan,Wigan,515,Emmerson Boyce,1103,95.6,58.2,53.6,73.6,2,0,1,0,0,1,0,0,1,0,0,0,0
615287,20130504,West Bromwich,Wigan,Wigan,74885,Callum McManaman,1606,89.6,51.3,18.8,6.9,2,0,0,1,0,0,0,0,0,1,0,0,0
615287,20130504,West Bromwich,Wigan,West Bromwich,13798,Shane Long,1707,93.5,51.8,52.3,1.9,1,1,0,1,0,0,0,0,0,1,0,0,1
615287,20130504,West Bromwich,Wigan,Wigan,5741,Paul Scharner,1866,92.7,49.5,45.5,19.0,2,0,1,0,0,1,0,0,0,1,0,0,0
615287,20130504,West Bromwich,Wigan,Wigan,4616,Shaun Maloney,2218,77.0,51.2,57.1,20.8,1,0,0,0,0,1,1,0,0,0,1,0,0
615287,20130504,West Bromwich,Wigan,West Bromwich,78498,Romelu Lukaku,2276,93.6,42.1,46.6,2.5,1,1,0,1,0,0,0,0,0,1,0,0,0
615287,20130504,West Bromwich,Wigan,Wigan,8943,Arouna Koné,2310,91.0,43.3,53.6,17.1,2,0,0,1,0,0,0,0,0,1,0,0,1
615287,20130504,West Bromwich,Wigan,West Bromwich,4891,Markus Rosenberg,2553,71.4,40.8,62.5,1.4,1,0,0,1,0,0,0,0,0,0,1,0,0
615287,20130504,West Bromwich,Wigan,Wigan,74885,Callum McManaman,2745,82.2,34.0,,,1,0,0,1,0,0,0,0,0,0,1,0,0
615287,20130504,West Bromwich,Wigan,Wigan,4616,Shaun Maloney,2776,90.5,80.8,,,1,0,1,0,0,1,0,0,0,0,1,0,0
615287,20130504,West Bromwich,Wigan,West Bromwich,8773,Gareth McAuley,2961,92.8,52.6,47.0,26.6,2,0,0,0,0,1,0,0,0,1,0,0,1
615287,20130504,West Bromwich,Wigan,West Bromwich,25642,Youssouf Mulumbu,3195,77.1,67.5,,,1,0,0,1,0,0,0,0,0,0,1,0,0
615287,20130504,West Bromwich,Wigan,Wigan,20339,James McArthur,3463,96.6,40.7,47.1,20.3,2,1,0,1,0,0,0,0,1,0,0,0,1
615287,20130504,West Bromwich,Wigan,West Bromwich,8773,Gareth McAuley,3565,93.2,50.7,50.3,50.0,2,0,1,0,0,1,0,0,0,1,0,0,0
615287,20130504,West Bromwich,Wigan,Wigan,8943,Arouna Koné,3833,89.5,45.6,51.0,90.3,2,0,0,0,0,1,0,0,0,1,0,0,0
615287,20130504,West Bromwich,Wigan,Wigan,20339,James McArthur,4253,86.2,41.7,,,1,0,0,1,0,0,0,0,0,1,0,0,0
615287,20130504,West Bromwich,Wigan,West Bromwich,8236,Billy Jones,4293,86.1,32.0,48.7,3.8,1,0,0,1,0,0,0,0,0,1,0,0,0
615287,20130504,West Bromwich,Wigan,West Bromwich,6733,Jerome Thomas,4485,76.5,73.1,,,1,0,0,1,0,0,0,0,0,0,1,0,0
615287,20130504,West Bromwich,Wigan,Wigan,74885,Callum McManaman,4751,96.2,51.8,50.0,9.5,1,1,0,1,0,0,0,0,1,0,0,0,1
615287,20130504,West Bromwich,Wigan,West Bromwich,25642,Youssouf Mulumbu,5057,85.3,71.1,42.5,5.6,1,0,0,1,0,0,0,0,0,1,0,0,0
615287,20130504,West Bromwich,Wigan,West Bromwich,10498,James Morrison,5109,75.5,36.7,48.4,73.6,1,0,0,1,0,0,0,0,0,0,1,0,0
615287,20130504,West Bromwich,Wigan,West Bromwich,15782,Graham Dorrans,5352,74.2,56.9,54.0,17.7,1,0,0,1,0,0,0,0,0,0,1,0,0
615287,20130504,West Bromwich,Wigan,West Bromwich,8773,Gareth McAuley,5379,92.7,52.9,50.7,35.4,2,0,1,0,0,1,0,0,0,1,0,0,0
615287,20130504,West Bromwich,Wigan,West Bromwich,6695,Jonas Olsson,5696,92.7,52.0,49.1,9.7,2,0,0,0,0,1,0,0,0,1,0,0,0
615289,20130504,Norwich,Aston Villa,Aston Villa,14036,Gabriel Agbonlahor,646,77.2,33.2,,,1,0,0,1,0,0,0,0,0,0,1,0,0
615289,20130504,Norwich,Aston Villa,Aston Villa,80719,Andreas Weimann,832,82.3,27.4,48.7,1.9,1,0,0,1,0,0,0,0,0,0,1,0,0
615289,20130504,Norwich,Aston Villa,Aston Villa,27213,Fabian Delph,1775,72.1,47.9,35.2,8.3,1,0,0,1,0,0,0,0,0,0,1,0,0
615289,20130504,Norwich,Aston Villa,Norwich,9767,Robert Snodgrass,2042,81.8,46.6,,,1,0,0,0,0,1,1,0,0,0,1,0,0
615289,20130504,Norwich,Aston Villa,Norwich,9767,Robert Snodgrass,2046,80.5,48.2,49.3,1.3,1,0,0,0,0,1,0,0,0,0,1,0,0
615289,20130504,Norwich,Aston Villa,Norwich,8695,Grant Holt,2493,89.5,45.8,56.8,83.3,2,0,0,1,0,0,0,0,0,1,0,0,0
615289,20130504,Norwich,Aston Villa,Aston Villa,42148,Nathan Baker,2733,72.5,57.5,,,1,0,0,1,0,0,0,0,0,0,1,0,0
615289,20130504,Norwich,Aston Villa,Aston Villa,14107,Ron Vlaar,2737,64.9,44.7,59.0,1.4,1,0,0,1,0,0,0,0,0,0,1,0,0
615289,20130504,Norwich,Aston Villa,Aston Villa,14036,Gabriel Agbonlahor,2740,79.8,55.5,,,1,0,0,1,0,0,0,0,0,0,1,0,0
615289,20130504,Norwich,Aston Villa,Aston Villa,68312,Christian Benteke,2715,85.3,49.1,48.5,2.5,1,0,0,1,0,0,0,0,0,1,0,0,0
615289,20130504,Norwich,Aston Villa,Aston Villa,68312,Christian Benteke,2825,70.0,57.4,28.0,1.4,1,0,0,1,0,0,0,0,0,0,1,0,0
615289,20130504,Norwich,Aston Villa,Norwich,8695,Grant Holt,3131,75.5,55.0,47.6,88.9,1,0,0,1,0,0,0,0,0,0,1,0,0
615289,20130504,Norwich,Aston Villa,Aston Villa,14036,Gabriel Agbonlahor,3278,75.5,42.9,54.3,5.7,1,0,0,1,0,0,0,0,0,0,1,0,1
615289,20130504,Norwich,Aston Villa,Norwich,19541,Wes Hoolahan,3600,92.5,37.9,38.0,9.7,2,0,0,1,0,0,0,0,0,1,0,0,0
615289,20130504,Norwich,Aston Villa,Aston Villa,80719,Andreas Weimann,3702,95.9,48.0,47.0,73.6,1,1,0,0,1,0,0,0,1,0,0,0,0
615289,20130504,Norwich,Aston Villa,Aston Villa,27213,Fabian Delph,3787,81.8,55.5,40.5,72.2,1,0,0,1,0,0,0,0,0,0,1,0,0
615289,20130504,Norwich,Aston Villa,Aston Villa,14036,Gabriel Agbonlahor,3977,92.5,63.1,41.3,4.2,1,0,0,1,0,0,0,0,0,1,0,0,0
615289,20130504,Norwich,Aston Villa,Norwich,8695,Grant Holt,4407,88.5,50.0,46.6,8.9,1,1,0,0,0,0,0,1,0,1,0,0,1
615289,20130504,Norwich,Aston Villa,Norwich,9767,Robert Snodgrass,4498,91.7,33.4,,,1,0,0,1,0,0,0,0,0,1,0,0,0
615289,20130504,Norwich,Aston Villa,Norwich,8695,Grant Holt,5230,91.7,32.9,42.7,9.7,1,0,0,0,0,1,0,0,0,1,0,0,0
615289,20130504,Norwich,Aston Villa,Aston Villa,14036,Gabriel Agbonlahor,5336,88.9,33.6,54.0,1.9,1,1,0,1,0,0,0,0,0,1,0,0,1
615289,20130504,Norwich,Aston Villa,Norwich,8695,Grant Holt,5588,88.8,47.1,58.2,19.4,2,0,0,1,0,0,0,0,0,1,0,0,0
615290,20130504,West Ham,Newcastle United,West Ham,27188,Mohamed Diamé,344,89.0,28.5,49.5,61.1,1,0,0,1,0,0,0,0,0,1,0,0,0
615290,20130504,West Ham,Newcastle United,Newcastle United,10194,Hatem Ben Arfa,559,74.8,6.6,50.2,50.0,1,0,0,0,0,1,1,0,0,0,1,0,0
615290,20130504,West Ham,Newcastle United,Newcastle United,24223,Papiss Demba Cissé,869,87.6,58.7,,,2,0,0,1,0,0,0,0,0,1,0,0,0
615290,20130504,West Ham,Newcastle United,West Ham,11980,Ricardo Vaz Tê,1086,74.4,72.3,,,1,0,0,0,0,1,0,0,0,0,1,0,0
615290,20130504,West Ham,Newcastle United,Newcastle United,24223,Papiss Demba Cissé,1198,90.8,66.6,46.7,2.8,1,1,0,1,0,0,0,0,0,1,0,0,0
615290,20130504,West Ham,Newcastle United,West Ham,1815,Kevin Nolan,1404,96.1,61.4,,,1,0,1,0,0,1,0,0,1,0,0,0,0
615290,20130504,West Ham,Newcastle United,Newcastle United,10194,Hatem Ben Arfa,1423,86.5,63.7,47.6,1.3,1,0,0,0,1,0,0,0,0,1,0,0,0
615290,20130504,West Ham,Newcastle United,Newcastle United,18436,Yoan Gouffran,1658,78.3,63.4,,,1,0,0,0,0,1,0,0,0,0,1,0,0
615290,20130504,West Ham,Newcastle United,Newcastle United,12376,Yohan Cabaye,2162,77.2,71.5,,,1,0,0,0,0,1,1,0,0,0,1,0,0
615290,20130504,West Ham,Newcastle United,West Ham,23383,Andy Carroll,2908,95.9,44.4,41.1,16.7,2,0,0,1,0,0,0,0,1,0,0,0,0
615290,20130504,West Ham,Newcastle United,Newcastle United,12376,Yohan Cabaye,2971,69.9,45.3,42.4,16.7,1,0,0,1,0,0,0,0,0,0,1,0,0
615290,20130504,West Ham,Newcastle United,Newcastle United,10194,Hatem Ben Arfa,3181,75.1,36.5,51.4,9.7,1,0,0,0,0,1,1,0,0,0,1,0,0
615290,20130504,West Ham,Newcastle United,West Ham,23383,Andy Carroll,3381,92.9,49.0,52.4,65.3,2,0,0,1,0,0,0,0,0,1,0,0,0
615290,20130504,West Ham,Newcastle United,West Ham,1815,Kevin Nolan,3838,95.8,45.8,47.4,9.5,2,1,0,1,0,0,0,0,1,0,0,0,0
